slug,nama,jabatan,fraksi,dapil,perolehan_suara,komisi,badan_kerja,email,tempat_tgl_lahir,pendidikan,organisasi,lhkpn,,,,pekerjaan
eko-wahyudi,Eko Wahyudi,Anggota DPR RI 2024–2029,Partai Golongan Karya,JAWA TIMUR IX,119381,Komisi VIII,Banggar,eko.wahyudi1@dpr.go.id,"Tuban, 28 May 1982","1987 - 1993 — SDN Kepohagung 1; 1993 - 1996 — SPMN Plumpang; 1997 - 2000 — SMK TARUNA JAYA PRAWIRA, MEKANIK UMUM",,,,,,"2016 - 2018 — PT.BHAKRI TAMA PERSADA, Sebagai: DIREKTUR; Penghargaan; Tidak ada data"
ahmad-labib,Ahmad Labib ,Anggota DPR RI 2024–2029,Partai Golongan Karya,JAWA TIMUR X,"78174	",Komisi IV,BURT,ahmad.labib@dpr.go.id,"Lamongan, 11 February 1979","-; 1986 - 1992 — MI Muhammadiyah 10 Palirangan, Solokuro, Lamongan; 1992 - 1995 — MTs Muhammadiyah 12 Palirangan, Solokuro, Lamongan; 1995 - — SMK Islam Tikung, Lamongan; 2000 - 2004 — Universitas Muhammadiyah Surabaya , Hukum Islam; 2008 - 2010 — Universitas Muhammadiyah Surakarta, Magister Hukum; 2020 - — Universitas Brawijaya , Ilmu Sosiologi",,,,,,"2010 - 2018 — Universitas Muhammadiyah Surabaya , Sebagai: Dosen; 2011 - 2015 — Badan Penyelenggara Jaminan Kesehatan Daerah (BPJKD) Pemerintah Provinsi Jawa Timur, Sebagai: Wakil Direktur Bidang Pelayanan dan Kepesertaan; 2012 - 2014 — Lembaga Penelitian dan Pengabdian Masyarakat (LPPM) Universitas Muhammadiyah Surabaya , Sebagai: Sekretaris; 2014 - 2017 — Lembaga Penelitian dan Pengabdian Masyarakat (LPPM) Universitas Muhammadiyah Surabaya, Sebagai: Ketua; 2016 - 2019 — Komite Ekonomi dan Industri Nasional (KEIN) Republik Indonesia, Sebagai: Sennior Assistant Professional (SAP); 2016 - 2019 — Komite Ekonomi dan Industri Nasional (KEIN) Republik Indonesia, Sebagai: Sekretaris Kelompok Kerja Industri Perikanan dan Maritim; 2018 - — PT. Kelola Mina Bumi, Sebagai: Komisaris Utama; 2019 - — PT. Brilliant Mina Bumi, Sebagai: Direktur Utama; 2019 - — PT. Relasi Usaha Muda, Sebagai: Komisaris; Penghargaan; Tidak ada data"
eric-hermawan,Eric Hermawan,Anggota DPR RI 2024–2029,Partai Golongan Karya,JAWA TIMUR XI,155619,Komisi VI,Baleg,eric.hermawan@dpr.go.id,"Surabaya, 28 October 1970","- 1995 — Universitas Brawijaya, Fisika; - 2016 — Universitas Tama Jagakarsa, Magister Tehnik; - 2021 — Universitas Negeri Jakarta, Doktor Fakultas Manajemen",,,,,,Tidak ada data; Penghargaan
adde-rosi-khoerunnisa,Adde Rosi Khoerunnisa,Anggota DPR RI 2024–2029,Partai Golongan Karya,BANTEN I,61848,Komisi XI,,adde.khoerunnisa@dpr.go.id,"Sumedang, 30 October 1983","1989 - 1995 — SD HANG TUAH III JAKARTA , -; 1995 - 1998 — SLTPN 12 BANDUNG , -; 1998 - 2001 — SMUN 15 BANDUNG , IPS; 2001 - 2005 — SEKOLAH TINNGI ILMU BAHASA ASING,BANDUNG , BAHASA INGGRIS; 2005 - 2009 — UNIVERSITAS PELITA HARAPAN,TANGERANG , ILMU KOMUNIKASI; 2010 - 2012 — UNIVERSITAS ISLAM SYEKH YUSUF, MAGISTER ILMU ADM PUBLIK",,,,,,"2007 - SKRG — PT RATU BIDAKARA HOTEL , Sebagai: KOMISARIS; 2009 - 2014 — DPRD KOTA SERANG , Sebagai: WAKIL KETUA 1; 2014 - 2016 — DPRD PROV BANTEN , Sebagai: SEKRETARIS KOMISI 5; 2016 - 2019 — DPRD PROV BANTEN , Sebagai: WAKIL KETUA 1; 2019 - 2024 — DPR RI, Sebagai: ANGGOTA; Penghargaan; 2019; HIMPAUDI AWARD 2019, Kementerian Kelautan dan Perikanan Republik Indonesia"
tubagus-haerul-jaman,Tubagus Haerul Jaman,Anggota DPR RI 2024–2029,Partai Golongan Karya,BANTEN II,81362,Komisi X,BKSAP,tubagus.jaman@dpr.go.id,"Serang, 17 March 1968","1977 - 1982 — SDN CIATEL BANDUNG; 1982 - 1985 — SMPN 1 SERANG; 1985 - 1988 — SMAN 1 SERANG, IPS; 1990 - 1992 — APP AKADEMI PIMPINAN PERUSAHAAN, KEPEMIMPINAN; 1996 - 2011 — STIE BINA BANGSA, EKONOMI",,,,,,"1990 - 2008 — PT ARDADELI, Sebagai: DIREKTUR UTAMA; 2008 - 2011 — PEMERINTAH KOTA SERANG, Sebagai: WAKIL WALIKOTA SERANG; 2011 - 2018 — PEMERINTAH KOTA SERANG, Sebagai: WAKIL WALIKOTA SERANG; 2019 - 2024 — DPR RI, Sebagai: Anggota; Penghargaan; Tidak ada data"
mujakkir-zuhri,Mujakkir Zuhri,Anggota DPR RI 2024–2029,Partai Golongan Karya,BANTEN III,"41707	",Komisi VII,,mujakkir.zuhri@dpr.go.id,"TANGERANG, 20 March 1966",1973 - 1979 — SDN Pakuhaji 2; 1979 - 1982 — SMP Islam Al Husna; 1982 - 1985 — MAN Cipasung Tasikmalaya; 1986 - 1992 — IAIN/UIN Syarif Hidayatullah,,,,,,"1994 - 1998 — Pemda Kab. Tangerang, Sebagai: Tenaga Honorer; 1998 - 2014 — Wirausaha, Sebagai: Pengusaha Tambak; 2009 - 2014 — DPRD Kab. Tangerang, Sebagai: Anggota DPRD; 2014 - 2024 — DPRD Prov. Banten, Sebagai: Anggota DPRD; Penghargaan; Tidak ada data"
andi-achmad-dara,Andi Achmad Dara,Anggota DPR RI 2024–2029,Partai Golongan Karya,BANTEN III,102009,Komisi XI,BAKN,andi.dara@dpr.go.id,"BANDUNG, 26 September 1959","- 1984 — UNIVERSITAS SUMATERA UTARA, MANAJEMEN PERUSAHAAN; 1965 - 1971 — SD UMUM NASIONAL PARTIKELIR; 1971 - 1974 — SMP YAYASAN PENDIDIKAN HARAPAN; 1974 - 1977 — SMA NEGERI I MEDAN",,,,,,"1989 - 1998 — PT ANDIRADASANA INTERDWIPA, Sebagai: DIREKTUR UTAMA; 1992 - 2012 — PT BINAMITRA SARANA, Sebagai: KOMISARIS; 2009 - 2011 — PT. BERAU COAL ENERGY TBK, Sebagai: KOMISARIS; 2009 - 2011 — PT. BENAKAT PETROLEUM ENERGY TBK, Sebagai: KOMISARIS; 2012 - 2014 — PT. ASRI PRIMA BASKARA ( DAHULU PT ANDICITRA GRAHAWIRA ), Sebagai: KOMISARIS UTAMA; 2012 - 2014 — PT. ANUGERAH PETROLEUM, Sebagai: KOMISARIS; 2012 - 2014 — PT. ANUGERAH BUMI WADAH ABADI, Sebagai: DIREKTUR; 2012 - 2014 — PT. DAYA PRIMA ENERGY PERSADA, Sebagai: DIREKTUR; 2014 - 2019 — DPR /MPR RI, Sebagai: ANGGOTA; Penghargaan; Tidak ada data"
gde-sumarjaya-linggih,Gde Sumarjaya Linggih,Anggota DPR RI 2024–2029,Partai Golongan Karya,BALI,100747,Komisi VI,BAKN,gde.linggih@dpr.go.id,"Buleleng, 22 October 1965","- 1977 — SDN TAJUN; - 1980 — SMPN 15 BANDUNG; - 1983 — SMAN 13 BANDUNG; - 1991 — UNIV ISLAM NUSANTARA, EKONOMI; 2013 - 2015 — UNIV PADJAJARAN BANDUNG, ADMINISTRASI PUBLIK",,,,,,"1990 - 2004 — Hotel Ganeca Puri Megah, Sebagai: Direktur; 1994 - 1998 — Ganeca Puri Megah, Sebagai: Direktur; 1995 - 2004 — PT Ganeca Silatama, Sebagai: Direktur Utama; 1996 - 2004 — PT Prasida Lantur Maju, Sebagai: Direktur Utama; 1998 - 2011 — Pabrik Indico Wines, Sebagai: Owner UD.Banyu Sakti; 2000 - 2004 — PT Metafora, Sebagai: Direktur Utama; 2002 - 2004 — PT Metafora Utama, Sebagai: Komisaris Utama; 2002 - 2011 — PT Metafora Internasional, Sebagai: Komisaris; 2003 - 2004 — PT Margarana, Sebagai: Komisaris Utama; 2004 - 2011 — PT Metafora, Sebagai: Komisaris Utama; 2004 - 2011 — PT Prasida Lantur Maju, Sebagai: Komisaris Utama; 2004 - 2009 — Anggota DPR RI, Sebagai: Anggota; 2009 - 2014 — Anggota DPRRI, Sebagai: Anggota; 2014 - 2019 — Anggota DPR RI, Sebagai: Anggota; Penghargaan; 2001 — Pembicara acara kuliah umum, Fakultas Ekonomi Universitas Warmadema; 2002 — IJC Nasional Konvensi, Indonesian Junior Chmaber; 2002 — Pembicara Seminar Regional, Fakultas EKonomi UNiversitas Warmadema; 2003 — Narasumber dalam diskusi, Fakultas Ekonomi Universitas Pendidikan Nasional; 2003 — Narasumber dalam acara , Bali TV; 2003 — Pembina dalam perspektif Ekonomi Indonesia, BPP HIPMI; 2004 — Lencana, Fakultas Ekonomi Universitas Warmadewa"
sari-yuliati,Sari Yuliati,Anggota DPR RI 2024–2029,Partai Golongan Karya,NUSA TENGGARA BARAT II,119444,Komisi III,Bamus - Wakil Ketua Komisi,sari.yuliati@dpr.go.id,"Jakarta, 02 June 1976","-; 1982 - 1988 — sdn 3 pg duren sawit; 1988 - 1991 — smpn 27 duren sawit; 1991 - 1994 — sman 81 labschool, ipa; 1995 - 2000 — univ trisakti, teknik sipil; 2001 - 2003 — univ indonesia , teknik sipil",,,,,,Tidak ada data; Penghargaan
melchias-markus-mekeng,Melchias Markus Mekeng,Anggota DPR RI 2024–2029,Partai Golongan Karya,NUSA TENGGARA TIMUR I,67809,Komisi XI,BAKN,melchias.mekeng@dpr.go.id,"Jakarta, 08 December 1963","- 1976 — SD REGINA PACIS; - 1987 — DE LA SALLE UNIVERSITY, MANAJEMEN KEUANGAN; - 2015 — UNIVERSITAS PARAHIYANGAN, HUKUM BISNIS; 1976 - 1979 — SMP REGINA PACIS; 1979 - 1982 — SMA REGINA PACIS",,,,,,"1988 - — BANK DUTA, Sebagai: Foreign Exchange Trade; 1989 - — Bank DUTA, Sebagai: Broker Sertifikat Bank Indonesia; 1989 - — Bank DUTA, Sebagai: Customer Desk For Exchange Trader; 1990 - — PT.Dharmala Sakti Sejahtera , Sebagai: Asisten Chief Dealer; 1992 - 1993 — PT. Penta Martin Bierbaum, Sebagai: Manager; 1993 - 1994 — PT.Sentasena Arthasentosa, Sebagai: Kepala Fixed Income Division; 1995 - 2023 — PT. Mesana Investama Utama , Sebagai: Direktur Utama; 2005 - 2023 — PT. Mesana Investama Utama , Sebagai: Komensaris Utama; 2009 - 2023 — PT. Emco Adidaya International, Sebagai: Komensaris Utama; Penghargaan; 2013 — Best Mutual Fund,; 2014 — Best Mutual Fund,; 2019 — Teropong Parlemen Award ,; 2024 — Penghargaan Sebagai Anggota Delegasi DPR RI, Anggota Delegasi BKSAP DPR RI Fraksi Partai Golkar"
umbu-kabunang-rudi-yanto-hunga,Umbu Kabunang Rudi Yanto Hunga,Anggota DPR RI 2024–2029,Partai Golongan Karya,NUSA TENGGARA TIMUR II,10.009,Komisi XIII,Baleg,umbu.hunga@dpr.go.id,"waingapu-NTT, 01 June 1971","1976 - 1984 — SD INPRES WAINGAPU; 1985 - 1987 — SMPN 1 WAINGAPU; 1988 - 1991 — SMAN 1 WAINGAPU; 1992 - 1997 — UNIVERSITAS JANABADRA, S1 HUKUM; 2004 - 2006 — STIH IBLAM, ILMU HUKUM; 2020 - 2023 — UNIVERSITAS JAYABAYA, DOKTOR ILMU HUKUM",,,,,,"2000 - — PENGACARA , Sebagai:; 2013 - — RUDI KABUNANG & PARTNERS, Sebagai: PIMPINAN; Penghargaan; 2003 — PENDIDIKAN DAN PELATIHAN KADER OEMUDA PARTAI GOLKAR, PESERTA; 2014 — BIMBINGAN TEKNIS PENYELESAIAN PERKARA HASIL PEMILU LEGISLATIF PARTAI GOLKAR, PESERTA"
gavriel-p-novanto,Gavriel P. Novanto,Anggota DPR RI 2024–2029,Partai Golongan Karya,NUSA TENGGARA TIMUR II,58176,Komisi I,Baleg,gavriel.novanto@dpr.go.id,"Jakarta, 08 October 1997","2014 - 2018 — Marymount California University, USA, Business Administration; 2018 - 2019 — Paperdine University, USA, Master of Science",,,,,,"2020 - — PT. Global Nusantara Putranto, Sebagai: Komisaris; 2020 - — PT. Mutiara Energi Indonesia, Sebagai: Komisaris; 2021 - — PT. Komoditas Semesta Indonesia, Sebagai: Komisaris; 2021 - — PT. BAC Kreatif Entertainmen, Sebagai: Komisaris; 2021 - — PT. Mineral Aditya Semesta, Sebagai: Komisaris; 2023 - — PT. Kupang Bio Energi, Sebagai: Komisaris; Penghargaan; Tidak ada data"
franciscus-maria-agustinus-sibarani,Franciscus Maria Agustinus Sibarani,Anggota DPR RI 2024–2029,Partai Golongan Karya,KALIMANTAN BARAT I,35550,Komisi XIII,,franciscus.sibarani@dpr.go.id,"Bandung, 28 August 1965","1984 - 1988 — Institut Pertanian Bogor, Teknologi Pertanian",,,,,,Tidak ada data; Penghargaan
adrianus-asia-sidot,Adrianus Asia Sidot,Anggota DPR RI 2024–2029,Partai Golongan Karya,KALIMANTAN BARAT II,40806,Komisi IV,,adrianus.sidot@dpr.go.id,"Saham, 02 February 1961","1966 - 1971 — BERSUBSIDI SAHAM; 1972 - 1974 — BERBANTUAN PAHAUMAN; 1974 - 1979 — SEMINARI MENENGAH SANTO PAULUS NYARUMKOP, IPS; 1979 - 1983 — AKADEMI PEMERINTAHAN DALAM NEGERI PONTIANAK , PEMERINTAHAN DAERAH; 1986 - 1988 — INSTITUT ILMU PEMERINTAHAN JAKARTA , POLITIK; 1994 - 1998 — PASCA SARJANA UNIVERSITAS KRISTEN SATYA WACANA SALATIGA , STUDI PEMBANGUNAN; 2004 - 2008 — PROGRAM DOKTOR ILMU-ILMU SOSIAL UNIVERSITAS PADJADJARAN BANDUNG , ADMINISTRASI NEGARA",,,,,,"Tidak ada data; Penghargaan; 2009 — Satya Lencana Wira Karya, Bupati Landak; 2010 — Satya Lencana Karya Pembangunan, Bupati Landak; 2010 — BPN sebagai lembaga yang berjasa di Bidang Pertanahan, Bupati Landak; 2012 — Satya Lencana Karya Satya 20 Tahun, PNS; 2016 — Satya Lencana Karya Satya 30 Tahun, PNS"
mukhtarudin,Mukhtarudin,Anggota DPR RI 2024–2029,Partai Golongan Karya,KALIMANTAN TENGAH,92192,Komisi XII,Banggar-Bamus,mukhtarudin@dpr.go.id,"Pangkalan Bun, 06 September 1964","1971 - 1977 — SDN 02 PANGKALAN BUN; 1978 - 1981 — SMPN 1 PANGKALAN BUN; 1981 - 1984 — SMAN 1 PANGKALAN BUN; 1984 - 1988 — UNIV. LAMBUNG MANGKURAT, ILMU ADM NEGARA",,,,,,"-; PENGUSAHA SWASTA, Sebagai:; UNIVERSITAS ANTAKUSUMA PANGKALAN BUN, Sebagai: STAF PENGAJAR STIE NUSANTARA; 1990 - 2002 — PENANAMAN MODAL DAERAH KAB KOTA WARINGIN BARAT, Sebagai: KABID PROMOSI (PNS); 2004 - 2009 — LEMBAGA TINGGI NEGARA, Sebagai: ANGGOTA DPR RI; 2019 - 2024 — LEMBAGA TINGGI NEGARA, Sebagai: ANGGOTA DPR RI; Penghargaan; 2020; Inspiring Journey Teropong Parlemen Award 2020,; 2021; Penganugrahan Award DPP KNPI 2021,; 2023; GOLKAR Media Award 2023,; Penganugrahan Calon Legislatif Petahana Populer 2024-2029,"
bambang-heri-purnama,Bambang Heri Purnama,Anggota DPR RI 2024–2029,Partai Golongan Karya,KALIMANTAN SELATAN I,161985,Komisi I,,bambang.purnama@dpr.go.id,"Mataram , 25 April 1967","- 2009 — Univ Lambung Mangkurat, Hukum; - 1982 — Negeri Mataram; - 1984 — Negeri Mataram; - 1987 — Tasikmalaya; - 1992 — UNTAG, Ekonomi; - 2009 — UNLAM Banjarmasin",,,,,,"-; PT. Batu Hitam Mulia , Sebagai: Komisaris; Penghargaan; Tidak ada data"
sandi-fitrian-noor,Sandi Fitrian Noor,Anggota DPR RI 2024–2029,Partai Golongan Karya,KALIMANTAN SELATAN I,106724,Komisi VIII,,sandi.noor@dpr.go.id,"Banjarmasin, 13 March 1994","2000 - 2006 — SD MUHAMMADIYAH 10 BANJARMASIN, -; 2006 - 2009 — SMPN 14 BANJARMASIN, -; 2009 - 2012 — SMKN 5 BANJARMASIN, OTOMOTIF; 2013 - 2017 — UNISKA BANJARMASIN, TEKNIK MESIN; 2018 - 2021 — UNISKA BANJARMASIN, MANAJEMEN",,,,,,"2017 - 2023 — SAMSAT BANJARMASIN, Sebagai: STAF; Penghargaan; Tidak ada data"
rikwanto,Rikwanto,Anggota DPR RI 2024–2029,Partai Golongan Karya,KALIMANTAN SELATAN II,"49936	",Komisi III,BAM,rikwanto@dpr.go.id,"MEDAN, 01 January 1965","1970 - 1976 — SDN KAMPUNG DUKUH PAGI III, -; 1976 - 1980 — SMPN 102 JAKARTA, -; 1980 - 1983 — SMAN 11 MEDAN, -; 1997 - 1999 — PERGURUAN TINGGI ILMU KEPOLISIAN JAKARTA , SARJANA ILMU KEPOLISIAN; 2007 - 2009 — UNIVERSITAS GADJAH MADA, MAGISTER HUMANIORA; 2020 - 2023 — UNIVERSITAS DIPONEGORO, DOKTOR HUKUM",,,,,,"1988 - 1989 — POLRI, Sebagai: PAMA POLRES METRO JAKBAR POLDA METRO JAYA; 1989 - 1990 — POLRI, Sebagai: KANIT RES INTEL POLSEK PALMERA POLSER METRO JAKBAR POLDA METRO JAYA; 1990 - 1993 — POLRI, Sebagai: KAUR BIBOPS SAT SERSE POLRES METRO JAKBAR POLDA METRO JAYA; 1993 - 1994 — POLRI, Sebagai: KANIT INTELKAM POLSEK TAMBORA POLRES METRO JAKBAR POLDA METRO JAYA; 1994 - 1997 — POLRI, Sebagai: WAKAPOLSEK METRO TAMAN SARI POLRES METRO JAKBAR POLDA METRO JAYA; 1997 - 1999 — POLRI, Sebagai: PAMA PTIK; 1999 - 2000 — POLRI, Sebagai: KASSUBAG OPS SETDIT SAMAPTA/SABHARA; 2000 - 2000 — POLRI, Sebagai: WAKAPOLRES BANTUL POLDA DIY; 2000 - 2002 — POLRI, Sebagai: KASSUBAG ANEV BAG SERSE TIPIDKOR; 2002 - 2003 — POLRI, Sebagai: KABAG ANALISIS DIT INTELKAM POLDA DIY; 2003 - 2005 — POLRI, Sebagai: PAMEN POLDA DIY; 2005 - 2005 — POLRI, Sebagai: KABAGREN PROGAR RORENA POLDA SULTRA; 2005 - 2007 — POLRI, Sebagai: KAPOLRES KARANGANYAR POLDA JATENG; 2007 - 2008 — POLRI, Sebagai: KAPOLRES KLATEN POLDA JATENG; 2008 - 2010 — POLRI, Sebagai: WAKAPOLWIL BANYUMAS; 2010 - 2011 — POLRI, Sebagai: WIDYAISWARA MUDA; 2011 - 2014 — POLRI, Sebagai: KABID HUMAS POLDA METRO JAYA; 2014 - 2015 — POLRI, Sebagai: KABAG PENUM ROPENMAS DIVHUMAS POLRI; 2015 - 2016 — POLRI, Sebagai: ANALIS KEBIJAKAN MADYA BIDANG PID DIVHUMAS POLRI; 2016 - 2017 — POLRI, Sebagai: KAROPENMAS DIVHUMAS POLRI; 2017 - 2018 — POLRI, Sebagai: KAROMULMED DIVHUMAS POLRI; 2018 - 2020 — POLRI, Sebagai: KAPOLDA MALUT; 2020 - 2022 — POLRI, Sebagai: KAPOLDA KALSEL; Penghargaan; 1996 — SATYALANCANA DWIDYA SISTHA, WAKAPOLSEK METRO TAMAN SARI POLRES METRO JAKBAR POLDA METRO JAYA; 1997 — SATYALANCANA PENGABDIAN 8 TAHUN, WAKAPOLSEK METRO TAMAN SARI POLRES METRO JAKBAR POLDA METRO JAYA; 2004 — SATYALANCANA PENGABDIAN 16 TAHUN, PAMEN POLDA DIY; 2013 — SATYALANCANA PENGABDIAN 24 TAHUN, KABID HUMAS POLDA METRO JAYA; 2019 — SATYALANCANA NARAYA, KAPOLDA MALUT; 2021 — SATYALANCANA PENGABDIAN 32 TAHUN, KAPOLDA KALSEL"
sarifah-suraidah,Sarifah Suraidah,Anggota DPR RI 2024–2029,Partai Golongan Karya,KALIMANTAN TIMUR,71496,Komisi VI,Banggar,sarifah.suraidah@dpr.go.id,"BALIKPAPAN, 02 January 1982","1988 - 1994 — SDN 1 Penajam Kab. Pasir, Kalimantan Timur; 1994 - 1997 — SLTPN 1 Penajam, Kab. Pasir, Kalimantan Timur; 1997 - 2000 — SMK Sekolah Perawat Kesehatan departement Kesehatan Balikpapan, Kalimantan Timur, Ilmu Pengetahuan Alam",,,,,,"2014 - 2023 — PT. Barokah Agro Perkasa, Sebagai: Direktur; Penghargaan; Tidak ada data"
hetifah-sjaifudian,Hetifah Sjaifudian,Anggota DPR RI 2024–2029,Partai Golongan Karya,KALIMANTAN TIMUR,146062,Komisi X,Ketua Komisi ,hetifah@dpr.go.id,"Bandung, 30 October 1964","1082 - 1988 — Institut Teknologi Bandung, Teknik Planologi; 1993 - 1995 — National University of Singapore, Master in Public Policy; 2002 - 2006 — University, Adelaide Australia, School of Politig and International Studies,Flimders",,,,,,"1977 - 1978 — Graduate School Of State Administration, Sebagai: Dosen Luar Biasa; 1988 - 1991 — ITB, Sebagai: Peneliti; 1991 - 2009 — AKATIGA Center For Social Analysis , Sebagai: Pendiri & Penelitiaris; 1995 - 2000 — Development studies Program, Sebagai: Dosen Luar Biasa; 1997 - 1999 — ITB, Sebagai: Peneliti; 2005 - 2009 — B-Trust Advisory Group Bandung, Sebagai: Eksekutif Direktur; 2009 - 2014 — DPR RI, Sebagai: Anggota DPRRI; 2014 - 2015 — B-Trust Advisory Group Bandung, Sebagai: Eksekutif Direktur; Penghargaan; Tidak ada data"
christiany-eugenia-paruntu,Christiany Eugenia Paruntu ,Anggota DPR RI 2024–2029,Partai Golongan Karya,SULAWESI UTARA,88520,Komisi VI,Banggar,christiany.paruntu@dpr.go.id,"Manado, 25 September 1967","- 2012 — SEKOLAH TINGGI ILMU EKONOMI (STIE) GANESHA JAKARTA; - 2018 — SEKOLAH TINGGI THEOLOGI; 1974 - 1980 — SD BUDI MULIA BOGOR-JAWA BARAT; 1980 - 1982 — SMP BUDI MULIA BOGOR- JAWAB BARAT.; 1982 - 1984 — HARRY CARLTON COMPREHENSIVE SCHOOL, SUTTON, BONINGTON, NOTINGHAM, UK.",,,,,,"1992 - 2010 — PT. PARTIM INDOMAKMUR, IDONESIA, Sebagai: DIREKTUR; 1999 - 2006 — PT. CHANDRA EKAKARYA PRATAMA, INDONESIA, Sebagai: KOMISARIS UTAMA; 2004 - 2009 — PT. TRUTAMA STAR, INDONESIA, Sebagai: KOMISARIS; 2006 - 2010 — PT. CHANDRA EKAKARYA PRATAMA, INDONESIA, Sebagai: PRESIDEN DIREKTUR; 2006 - 2010 — PT. PUSPITA ADHINIAGA INDONESIA, Sebagai: PRESIDEN DIREKTUR; 2010 - 2015 — PEMERINTAH KABUPATEN MINAHASA SELATAN, Sebagai: BUPATI; 2016 - 2021 — PEMERINTAH KABUPATEN MINAHASA SELATAN, Sebagai: BUPATI; Penghargaan; 2011 — PENINGKATAN PRODUKSI BERAS NASIONAL (P2BN), PRESIDEN RI; 2012 — ADHI BHAKTI MINA BAHARI, WAKIL PRESIDEN RI; 2012 — PRESTASI CITRA KARTINI ANAK BANGSA, YAYASAN CITRA KARTINI ANAK BANGSA; 2012; PENGHARGAAN ROGRAM PKH AWARD TAHUN 2011, KATEGORI KETEPATAN DAN ECEPATAN FINAL CLOSING DATA UNTUK PEMBAYARAN TERBAIK WILAYAH TIMUR TAHUN 2012, PRESIDEN RI; WOMEN OF THE YEAR 2011 VERSI MAJALAH MASKETEERS, MAJALAH MASKETEERS; ADITYA KARYA MAHATVA YODHA TAHUN 2012, KARANG TARUNA NASIONAL; 2013; ANUGERAH PEREMPUAN INDONEIA TAHUN 2013, KEMENTERIAN PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK RI; 2013 — MANGGALA KARYA KENCANA, BKKBN RI; SATYALANCANA KEBHAKTIAN SOSIAL (SLKS) TAHUN 2013, PRESIDEN RI; 2014 — SATYALANCANA WIRAKARYA, PRESIDEN RI; 2014 — BINTANG KEHORMATAN LEGIUN VETERAN REPUBLIK INDONESIA, LVRI; 2014 — GOOD GOVERNANCE AWARD, CITRA PRESTASI ANAK BANGSA; 2014 — WAHANA TATA NUGRAHA, PRESIDEN RI; 2015 — BINTANG JASA UTAMA, PRESIDEN RI; 2015; KABUPATEN PEDULI HAK ASASI MANUSIA PADA TAHUN 2014, KEMENKUMHAM RI; 2015 — SATYALENCANA PEMBANGUNAN BIDANG PEMBANGUNAN KELUARGA BERENCANA DAN KEPENDUDUKAN , PRESIDEN RI; 2016; INDONESIAN TOP LEADER AWARD (KARTINI AWARD) - TOKOH INDONESIA 2016, YAYASAN PENGHARGAAN INDONESIA; ANUGERAH PANGRIPTA NUSANTARA (APN) SULAWESI UTARA 2016, PEMERINTAH RI; KEPALA DAERAH INOVATIF 2016, KORAN SINDO; 2016 — TERBAIK II JKN AWARD PROVINSI SULAWESI UTARA, KEMENTERIAN KESEHATAN RI; KABUPATEN PEDULI HAK ASASI MANUSIA PADA TAHUN 2015, KEMENKUMHAM; 2017; ANUGERAH PANGRIPTA NUSANTARA (APN) KABUPATEN SULAWESI UTARA 2017, PEMPROV. SULAWESI UTARA; 2017 — KARTINI MASA KINI AWARD, INDONEWS.ID; 2017 INDONESIAN WOMEN INSPIRING AWARD, YAYASAN PENGHARGAAN INDONESIA; 2017 — PENGHARGAAN , KOMPAS GRAMEDIA; 2017 — PENGHARGAAN DUKUNGAN LPG NON SUBSIDI DAN MENDORONG PENYAURAN LPG 3 KG BERSUBSIDI TEPAT SASARAN, PT. PERTAMINA; 2017 — TERBAIK III KRITERIA JUMLAH PESERTA YANG DIINTEGRASIKAN, PEMBAYARAN IURAN TEPAT WAKTU DAN KEAKURATAN DATA MASTERFILE,; 2017 — PENGHARGAAN ATAS PENJAMINAN RAKYAT SEHAT DAN SEJAHTERA MELALUI INTEGRASI JAMKESDA DALAM PROGRAM JKN-KIS,; 2018 — GELAR DOKTOR KEHORMATAN DI BIDANG MINISTRY (D.MIN) DARI SEKOLAH TINGGI THEOLOGI , SEKOLAH TINGGI THEOLOGI; 2018; PENGHARGAAN DARI DPR RI DALAM RANGKA PERINGATAN HARI PEREMPUAN SEDUNIA TAHUN 2018 ATAS KEBERHASILAN MINAHASA SELATAN DALAM MENUNJANG PENCAPAIAN TUJUAN PEMBANGUNAN BERKELANJUTAN (SDGs), DPR RI; 2018 — PENGHARGAN , KEMENTERIAN KOPERASI DAN UMKM RI; 2018 — PENGHARGAAN , PEMPROV SULAWESI UTARA; 2018 — PENGHARGAAN , PRESIDEN RI; PENGHARGAAN ICSB INDONESIA CITY AWARD 2018 KATEGORI , KEMENTERIAN KOPERASI DAN UMKM RI; 2018 — PENGHARGAAN ATAS KEBERHASILAN PEMERINTAH DAERAH MEMPEROLEH OPINI , BPK RI; 2019; PENGHARGAAN ATAS DUKUNGAN PENYELENGGARAAN TUGAS DAN FUNGSI PEMASYARAKATAN PADA PERINGATAN BAKTI PEMASYARAKATAN KE-55 TAHUN 2019, Kementerian Hukum dan HAM RI; PENGHARGAAN KABUPATEN SEHAT SWASTI SABA PADAPA TAHUN 2019, KEMENTERIAN DALAM NEGERI RI"
